DEPT,DPHI,GR,ILD,FORMATION
5099.5,6.611,78.068,13.095,1
5100,6.848,78.313,13.121,1
5100.5,6.967,82.731,12.586,1
5101,6.729,87.149,12.118,1
5101.5,6.531,88.353,11.782,1
5102,6.214,89.157,11.517,1
5102.5,5.778,89.96,11.243,1
5103,5.223,91.566,11.133,1
5103.5,4.747,93.574,11.133,1
5104,4.47,95.582,11.133,1
5104.5,4.747,97.992,11.091,1
5105,4.628,98.394,10.755,1
5105.5,4.311,97.992,10.449,1
5106,4.311,95.984,10.338,1
5106.5,4.351,95.984,10.533,1
5107,4.549,95.984,10.668,1
5107.5,4.945,95.582,11.143,1
5108,5.263,98.795,11.515,1
5108.5,5.58,102.811,10.988,1
5109,5.619,105.221,10.453,1
5109.5,5.342,104.819,10.338,1
5110,4.985,102.811,10.656,1
5110.5,4.43,95.984,11.726,1
5111,4.113,93.574,12.127,1
5111.5,3.994,92.369,11.954,1
5112,4.192,93.173,11.531,1
5112.5,4.708,101.205,11.349,1
5113,5.183,103.213,11.524,1
5113.5,5.5,104.016,11.656,1
5114,5.619,104.418,11.73,1
5114.5,5.144,100.803,11.73,1
5115,4.589,96.787,11.928,1
5115.5,3.796,98.394,11.928,1
5116,3.479,100,11.846,1
5116.5,3.598,100.803,11.51,1
5117,3.717,103.213,11.332,1
5117.5,4.192,102.811,11.332,1
5118,4.153,101.205,11.03,1
5118.5,4.272,101.205,10.708,1
5119,4.39,100.803,10.736,1
5119.5,4.39,100.803,10.55,1
5120,4.192,100.803,10.338,1
5120.5,4.073,96.386,10.396,1
5121,4.232,95.181,10.732,1
5121.5,4.113,93.976,11.334,1
5122,4.113,92.369,12.066,1
5122.5,4.232,93.173,12.127,1
5123,4.232,93.173,12.127,1
5123.5,4.192,94.779,12.127,1
5124,4.034,93.976,12.615,1
5124.5,3.954,89.157,12.894,1
5125,4.351,88.353,13.022,1
5125.5,4.39,88.353,13.008,1
5126,4.113,86.345,12.615,1
5126.5,3.756,89.157,12.478,1
5127,3.994,91.566,12.326,1
5127.5,4.747,89.96,12.326,1
5128,4.747,87.952,12.448,1
5128.5,4.747,88.755,13.12,1
5129,4.827,87.55,13.258,1
5129.5,4.866,85.944,13.519,1
5130,4.351,90.361,13.101,1
5130.5,4.866,92.771,12.555,1
5131,5.461,89.558,12.326,1
5131.5,5.58,90.763,12.326,1
5132,5.619,93.574,12.326,1
5132.5,5.738,93.574,12.253,1
5133,5.382,95.181,11.928,1
5133.5,5.183,97.189,11.928,1
5134,5.144,94.779,11.679,1
5134.5,4.945,93.976,11.531,1
5135,4.549,95.984,11.471,1
5135.5,4.47,97.189,11.135,1
5136,4.47,99.197,10.664,1
5136.5,4.549,98.795,10.264,1
5137,4.113,96.787,10.139,1
5137.5,3.637,93.173,10.437,1
5138,3.32,89.96,10.911,1
5138.5,3.954,85.944,11.583,1
5139,4.351,83.133,11.928,1
5139.5,4.787,81.526,12.728,1
5140,5.223,83.133,12.922,1
5140.5,5.382,85.542,12.839,1
5141,4.827,91.165,12.542,1
5141.5,4.708,93.976,12.272,1
5142,4.668,92.369,12.127,1
5142.5,4.668,90.763,11.928,1
5143,4.589,86.747,12.526,1
5143.5,4.39,81.526,12.862,1
5144,5.104,80.723,13.32,1
5144.5,5.58,79.518,13.32,1
5145,5.818,79.116,13.32,1
5145.5,6.016,80.321,13.229,1
5146,6.293,78.313,13.121,1
5146.5,6.571,78.715,13.121,1
5147,6.452,79.116,13.121,1
5147.5,6.65,79.116,13.372,1
5148,6.65,80.321,13.765,1
5148.5,6.492,80.723,14.841,1
5149,6.373,78.313,15.356,1
5149.5,6.095,75.502,15.966,1
5150,5.714,73.092,16.7,1
5150.5,5.119,68.273,17.097,1
5151,3.373,67.068,17.097,1
5151.5,3.016,66.667,17.097,1
5152,3.333,66.265,17.333,1
5152.5,3.929,65.863,17.85,1
5153,5.317,65.863,18.064,1
5153.5,6.23,65.863,17.893,1
5154,5.913,63.855,17.657,1
5154.5,4.048,63.454,17.234,1
5155,2.778,65.462,16.852,1
5155.5,2.659,68.675,16.516,1
5156,3.016,73.092,16.445,1
5156.5,3.452,78.715,16.109,1
5157,4.008,81.124,15.972,1
5157.5,4.524,85.944,15.852,1
5158,4.96,87.149,15.565,1
5158.5,5.079,88.353,15.349,1
5159,5.04,87.55,15.075,1
5159.5,5.119,85.542,14.557,1
5160,5.357,85.944,14.023,1
5160.5,5.635,88.353,13.917,1
5161,5.675,89.558,13.917,1
5161.5,5.675,91.566,13.718,1
5162,5.516,92.771,13.94,1
5162.5,5.516,92.369,14.115,1
5163,5.516,92.369,14.115,1
5163.5,5.516,91.165,13.99,1
5164,5.159,89.157,13.519,1
5164.5,5.238,87.55,13.32,1
5165,5.04,89.558,13.108,1
5165.5,4.881,91.566,12.724,1
5166,4.841,93.574,12.724,1
5166.5,4.524,94.378,12.953,1
5167,4.589,94.378,13.412,1
5167.5,4.668,92.771,13.917,1
5168,4.787,91.566,13.917,1
5168.5,4.945,90.361,13.917,1
5169,5.104,87.952,13.96,1
5169.5,5.58,85.542,14.115,1
5170,5.738,83.936,14.235,1
5170.5,5.659,82.329,14.712,1
5171,5.263,81.526,14.712,1
5171.5,5.104,84.337,14.712,1
5172,5.223,87.952,14.712,1
5172.5,4.985,89.96,14.712,1
5173,4.628,91.968,15.006,1
5173.5,4.351,92.369,15.592,1
5174,4.351,89.558,15.682,1
5174.5,4.43,87.55,15.507,1
5175,4.509,86.345,15.209,1
5175.5,4.351,83.936,15.034,1
5176,4.43,83.133,14.581,1
5176.5,4.47,80.723,14.513,1
5177,4.549,79.116,14.697,1
5177.5,4.549,80.723,14.712,1
5178,4.43,81.526,14.452,1
5178.5,4.509,85.141,14.116,1
5179,4.509,90.763,13.917,1
5179.5,4.47,92.771,13.444,1
5180,4.39,93.173,13.121,1
5180.5,4.589,93.173,13.121,1
5181,4.589,90.763,13.121,1
5181.5,4.47,88.755,12.962,1
5182,4.589,90.361,12.922,1
5182.5,4.628,92.369,12.922,1
5183,4.866,95.984,12.922,1
5183.5,5.168,95.582,12.922,1
5184,5.327,93.574,12.922,1
5184.5,5.525,88.353,12.922,1
5185,5.604,83.534,13.216,1
5185.5,5.446,80.321,13.517,1
5186,5.05,79.92,13.654,1
5186.5,4.416,81.124,13.99,1
5187,4.218,83.534,14.115,1
5187.5,4.02,88.755,13.685,1
5188,3.861,90.763,13.32,1
5188.5,3.822,93.173,13.121,1
5189,3.822,93.173,13.293,1
5189.5,3.822,90.763,13.722,1
5190,3.861,89.96,13.917,1
5190.5,3.782,87.149,13.917,1
5191,3.386,85.542,13.62,1
5191.5,3.584,85.542,12.948,1
5192,3.584,86.747,12.7,1
5192.5,3.584,89.157,12.396,1
5193,3.822,92.771,12.326,1
5193.5,4.218,97.992,12.121,1
5194,4.653,99.598,11.928,1
5194.5,4.812,99.598,11.681,1
5195,4.851,100,11.445,1
5195.5,5.01,100.803,11.332,1
5196,4.97,100.803,11.332,1
5196.5,4.851,99.197,11.433,1
5197,4.851,98.795,12.099,1
5197.5,4.851,97.992,12.127,1
5198,4.851,96.386,12.199,1
5198.5,4.772,95.984,12.762,1
5199,4.337,97.992,12.922,1
5199.5,3.941,94.378,13.311,1
5200,3.743,94.97,13.519,1
5200.5,3.861,98.592,13.519,1
5201,4.059,98.592,13.519,1
5201.5,3.901,98.592,13.519,1
5202,3.584,97.787,13.519,1
5202.5,3.584,95.372,13.519,1
5203,3.149,91.751,13.519,1
5203.5,2.792,90.141,13.425,1
5204,2.515,91.348,13.089,1
5204.5,2.554,91.751,12.922,1
5205,2.752,92.958,12.724,1
5205.5,3.188,94.165,12.724,1
5206,3.663,98.189,12.61,1
5206.5,3.941,100.604,12.473,1
5207,4.178,104.225,12.326,1
5207.5,4.297,108.652,11.803,1
5208,4.535,109.054,11.666,1
5208.5,4.495,110.664,11.531,1
5209,4.851,115.091,11.393,1
5209.5,4.891,112.274,10.934,1
5210,4.851,112.274,10.934,1
5210.5,4.535,112.274,10.934,1
5211,4.218,112.274,10.956,1
5211.5,4.059,109.457,11.133,1
5212,3.98,107.445,10.934,1
5212.5,4.059,105.03,10.736,1
5213,4.297,101.006,10.736,1
5213.5,4.416,99.396,10.843,1
5214,4.495,101.408,10.934,1
5214.5,4.733,105.03,10.753,1
5215,5.129,106.237,10.736,1
5215.5,5.446,109.859,10.736,1
5216,5.168,110.664,10.736,1
5216.5,4.931,110.262,10.736,1
5217,4.668,113.078,10.736,1
5217.5,4.866,116.7,10.736,1
5218,4.945,116.298,10.592,1
5218.5,5.263,113.481,10.537,1
5219,5.659,109.859,11.207,1
5219.5,5.382,107.445,11.928,1
5220,5.461,105.433,11.928,1
5220.5,5.659,105.03,12.127,1
5221,5.897,106.237,12.127,1
5221.5,5.937,106.64,12.127,1
5222,6.174,106.237,12.127,1
5222.5,6.056,101.811,12.127,1
5223,6.056,103.421,11.944,1
5223.5,5.857,105.835,11.808,1
5224,5.382,107.847,11.344,1
5224.5,5.302,117.505,11.332,1
5225,5.382,123.944,11.332,1
5225.5,5.58,124.748,11.332,1
5226,5.778,124.748,11.332,1
5226.5,5.699,119.92,11.332,1
5227,5.382,113.883,10.688,1
5227.5,5.382,110.664,10.139,1
5228,5.421,107.847,10.115,1
5228.5,5.58,105.433,9.94,1
5229,5.302,105.433,9.594,1
5229.5,4.827,106.237,9.191,1
5230,4.113,112.676,8.933,1
5230.5,3.32,122.736,8.748,1
5231,3.003,127.968,8.477,1
5231.5,4.589,126.358,8.35,1
5232,5.421,121.529,8.915,1
5232.5,5.5,115.091,10.119,1
5233,5.064,105.835,10.274,1
5233.5,5.198,104.628,9.742,1
5234,5,106.237,10.293,1
5234.5,4.802,105.433,10.811,1
5235,4.841,104.628,10.934,1
5235.5,5.04,106.237,10.934,1
5236,5.278,106.64,10.934,1
5236.5,5.238,107.042,10.512,1
5237,5.278,107.847,10.176,1
5237.5,5.476,107.445,9.742,1
5238,5.119,106.237,9.742,1
5238.5,5.159,101.811,9.742,1
5239,5.238,100.604,9.742,2
5239.5,5.397,103.421,9.84,2
5240,5.437,103.018,10.325,2
5240.5,5.437,103.823,10.783,2
5241,5.556,104.225,11.393,2
